,Team,P,W,D,L,GF,GA,GD,Season,League,PTS,PPG
516,Nantes,38,14,10,14,36,41,-5,2017,France-Ligue-1,52,1.368421052631579
517,Montpellier,38,11,18,9,36,33,3,2017,France-Ligue-1,51,1.3421052631578947
518,Dijon,38,13,9,16,55,73,-18,2017,France-Ligue-1,48,1.263157894736842
519,Guingamp,38,12,11,15,48,59,-11,2017,France-Ligue-1,47,1.236842105263158
520,Amiens,38,12,9,17,37,42,-5,2017,France-Ligue-1,45,1.1842105263157894
521,Angers,38,9,14,15,42,52,-10,2017,France-Ligue-1,41,1.0789473684210527
522,Strasbourg,38,9,11,18,44,67,-23,2017,France-Ligue-1,38,1.0
523,Caen,38,10,8,20,27,52,-25,2017,France-Ligue-1,38,1.0
524,Lille,38,10,8,20,41,67,-26,2017,France-Ligue-1,38,1.0
525,Toulouse,38,9,10,19,38,54,-16,2017,France-Ligue-1,37,0.9736842105263158
526,Troyes,38,9,6,23,32,59,-27,2017,France-Ligue-1,33,0.868421052631579
527,Metz,38,6,8,24,34,76,-42,2017,France-Ligue-1,26,0.6842105263157895
528,Monaco,38,30,5,3,107,31,76,2016,France-Ligue-1,95,2.5
529,Paris Saint-Germain,38,27,6,5,83,27,56,2016,France-Ligue-1,87,2.289473684210526
530,Nice,38,22,12,4,63,36,27,2016,France-Ligue-1,78,2.0526315789473686
531,Lyon,37,20,4,13,77,48,29,2016,France-Ligue-1,64,1.7297297297297298
532,Marseille,38,17,11,10,57,41,16,2016,France-Ligue-1,62,1.631578947368421
533,Bordeaux,38,15,14,9,53,43,10,2016,France-Ligue-1,59,1.5526315789473684
534,Nantes,38,14,9,15,40,54,-14,2016,France-Ligue-1,51,1.3421052631578947
535,Saint-Etienne,38,12,14,12,41,42,-1,2016,France-Ligue-1,50,1.3157894736842106
536,Rennes,38,12,14,12,36,42,-6,2016,France-Ligue-1,50,1.3157894736842106
537,Guingamp,38,14,8,16,46,53,-7,2016,France-Ligue-1,50,1.3157894736842106
538,Lille,38,13,7,18,40,47,-7,2016,France-Ligue-1,46,1.2105263157894737
539,Angers,38,13,7,18,40,49,-9,2016,France-Ligue-1,46,1.2105263157894737
540,Toulouse,38,10,14,14,37,41,-4,2016,France-Ligue-1,44,1.1578947368421053
541,Metz,38,11,10,17,39,72,-33,2016,France-Ligue-1,43,1.131578947368421
542,Montpellier,38,10,9,19,48,66,-18,2016,France-Ligue-1,39,1.0263157894736843
543,Dijon,38,8,13,17,46,58,-12,2016,France-Ligue-1,37,0.9736842105263158
544,Caen,38,10,7,21,36,65,-29,2016,France-Ligue-1,37,0.9736842105263158
545,Lorient,38,10,6,22,44,70,-26,2016,France-Ligue-1,36,0.9473684210526315
546,Nancy,38,9,8,21,29,52,-23,2016,France-Ligue-1,35,0.9210526315789473
547,SC Bastia,37,8,10,19,29,54,-25,2016,France-Ligue-1,34,0.918918918918919
548,Paris Saint-Germain,38,30,6,2,102,19,83,2015,France-Ligue-1,96,2.526315789473684
549,Lyon,38,19,8,11,67,43,24,2015,France-Ligue-1,65,1.7105263157894737
550,Monaco,38,17,14,7,57,50,7,2015,France-Ligue-1,65,1.7105263157894737
551,Nice,38,18,9,11,58,41,17,2015,France-Ligue-1,63,1.6578947368421053
552,Lille,38,15,15,8,39,27,12,2015,France-Ligue-1,60,1.5789473684210527
553,Saint-Etienne,38,17,7,14,42,37,5,2015,France-Ligue-1,58,1.5263157894736843
554,Caen,38,16,6,16,39,52,-13,2015,France-Ligue-1,54,1.4210526315789473
555,Rennes,38,13,13,12,52,54,-2,2015,France-Ligue-1,52,1.368421052631579
556,Angers,38,13,11,14,40,38,2,2015,France-Ligue-1,50,1.3157894736842106
557,SC Bastia,38,14,8,16,36,42,-6,2015,France-Ligue-1,50,1.3157894736842106
558,Bordeaux,38,12,14,12,50,57,-7,2015,France-Ligue-1,50,1.3157894736842106
559,Montpellier,38,14,7,17,49,47,2,2015,France-Ligue-1,49,1.2894736842105263
560,Marseille,38,10,18,10,48,42,6,2015,France-Ligue-1,48,1.263157894736842
561,Nantes,38,12,12,14,33,44,-11,2015,France-Ligue-1,48,1.263157894736842
562,Lorient,38,11,13,14,47,58,-11,2015,France-Ligue-1,46,1.2105263157894737
563,Guingamp,38,11,11,16,47,56,-9,2015,France-Ligue-1,44,1.1578947368421053
564,Toulouse,38,9,13,16,45,55,-10,2015,France-Ligue-1,40,1.0526315789473684
565,Reims,38,10,9,19,44,57,-13,2015,France-Ligue-1,39,1.0263157894736843
566,GFC Ajaccio,38,8,13,17,37,58,-21,2015,France-Ligue-1,37,0.9736842105263158
567,Troyes,38,3,9,26,28,83,-55,2015,France-Ligue-1,18,0.47368421052631576
568,Paris Saint-Germain,38,24,11,3,83,36,47,2014,France-Ligue-1,83,2.1842105263157894
569,Lyon,38,22,9,7,72,33,39,2014,France-Ligue-1,75,1.9736842105263157
570,Monaco,38,20,11,7,51,26,25,2014,France-Ligue-1,71,1.868421052631579
571,Marseille,38,21,6,11,76,42,34,2014,France-Ligue-1,69,1.8157894736842106
572,Saint-Etienne,38,19,12,7,51,30,21,2014,France-Ligue-1,69,1.8157894736842106
573,Bordeaux,38,17,12,9,47,44,3,2014,France-Ligue-1,63,1.6578947368421053
574,Montpellier,38,16,8,14,46,39,7,2014,France-Ligue-1,56,1.4736842105263157
575,Lille,38,16,8,14,43,42,1,2014,France-Ligue-1,56,1.4736842105263157
576,Rennes,38,13,11,14,35,42,-7,2014,France-Ligue-1,50,1.3157894736842106
577,Guingamp,38,15,4,19,41,55,-14,2014,France-Ligue-1,49,1.2894736842105263
578,Nice,38,13,9,16,44,53,-9,2014,France-Ligue-1,48,1.263157894736842
579,SC Bastia,38,12,11,15,37,46,-9,2014,France-Ligue-1,47,1.236842105263158
580,Caen,38,12,10,16,54,55,-1,2014,France-Ligue-1,46,1.2105263157894737
581,Nantes,38,11,12,15,29,40,-11,2014,France-Ligue-1,45,1.1842105263157894
582,Reims,38,12,8,18,47,66,-19,2014,France-Ligue-1,44,1.1578947368421053
583,Lorient,38,12,7,19,44,50,-6,2014,France-Ligue-1,43,1.131578947368421
584,Toulouse,38,12,6,20,43,64,-21,2014,France-Ligue-1,42,1.105263157894737
585,Thonon Evian Grand Geneve,38,11,4,23,41,62,-21,2014,France-Ligue-1,37,0.9736842105263158
586,Metz,38,7,9,22,31,61,-30,2014,France-Ligue-1,30,0.7894736842105263
587,Lens,38,7,8,23,32,61,-29,2014,France-Ligue-1,29,0.7631578947368421
588,Manchester City,38,27,5,6,102,37,65,2013,England-Premier-League,86,2.263157894736842
589,Liverpool,38,26,6,6,101,50,51,2013,England-Premier-League,84,2.210526315789474
590,Chelsea,38,25,7,6,71,27,44,2013,England-Premier-League,82,2.1578947368421053
591,Arsenal,38,24,7,7,68,41,27,2013,England-Premier-League,79,2.0789473684210527
592,Everton,38,21,9,8,61,39,22,2013,England-Premier-League,72,1.894736842105263
593,Tottenham,38,21,6,11,55,51,4,2013,England-Premier-League,69,1.8157894736842106
594,Manchester United,38,19,7,12,64,43,21,2013,England-Premier-League,64,1.6842105263157894
595,Southampton,38,15,11,12,54,46,8,2013,England-Premier-League,56,1.4736842105263157
596,Stoke,38,13,11,14,45,52,-7,2013,England-Premier-League,50,1.3157894736842106
597,Newcastle United,38,15,4,19,43,59,-16,2013,England-Premier-League,49,1.2894736842105263
598,Crystal Palace,38,13,6,19,33,48,-15,2013,England-Premier-League,45,1.1842105263157894
599,Swansea,38,11,9,18,54,54,0,2013,England-Premier-League,42,1.105263157894737
600,West Ham,38,11,7,20,40,51,-11,2013,England-Premier-League,40,1.0526315789473684
601,Sunderland,38,10,8,20,41,60,-19,2013,England-Premier-League,38,1.0
602,Aston Villa,38,10,8,20,39,61,-22,2013,England-Premier-League,38,1.0
603,Hull,38,10,7,21,38,53,-15,2013,England-Premier-League,37,0.9736842105263158
604,West Bromwich Albion,38,7,15,16,43,59,-16,2013,England-Premier-League,36,0.9473684210526315
605,Norwich,38,8,9,21,28,62,-34,2013,England-Premier-League,33,0.868421052631579
606,Fulham,38,9,5,24,40,85,-45,2013,England-Premier-League,32,0.8421052631578947
607,Cardiff,38,7,9,22,32,74,-42,2013,England-Premier-League,30,0.7894736842105263
608,Manchester United,38,28,5,5,86,43,43,2012,England-Premier-League,89,2.3421052631578947
609,Manchester City,38,23,9,6,66,34,32,2012,England-Premier-League,78,2.0526315789473686
610,Chelsea,38,22,9,7,75,39,36,2012,England-Premier-League,75,1.9736842105263157
611,Arsenal,38,21,10,7,72,37,35,2012,England-Premier-League,73,1.9210526315789473
612,Tottenham,38,21,9,8,66,46,20,2012,England-Premier-League,72,1.894736842105263
613,Everton,38,16,15,7,55,40,15,2012,England-Premier-League,63,1.6578947368421053
614,Liverpool,38,16,13,9,71,43,28,2012,England-Premier-League,61,1.605263157894737
615,West Bromwich Albion,38,14,7,17,53,57,-4,2012,England-Premier-League,49,1.2894736842105263
616,Swansea,38,11,13,14,47,51,-4,2012,England-Premier-League,46,1.2105263157894737
617,West Ham,38,12,10,16,45,53,-8,2012,England-Premier-League,46,1.2105263157894737
618,Norwich,38,10,14,14,41,58,-17,2012,England-Premier-League,44,1.1578947368421053
619,Fulham,38,11,10,17,50,60,-10,2012,England-Premier-League,43,1.131578947368421
620,Stoke,38,9,15,14,34,45,-11,2012,England-Premier-League,42,1.105263157894737
621,Southampton,38,9,14,15,49,60,-11,2012,England-Premier-League,41,1.0789473684210527
622,Aston Villa,38,10,11,17,47,69,-22,2012,England-Premier-League,41,1.0789473684210527
623,Newcastle United,38,11,8,19,45,68,-23,2012,England-Premier-League,41,1.0789473684210527
624,Sunderland,38,9,12,17,41,54,-13,2012,England-Premier-League,39,1.0263157894736843
625,Wigan,38,9,9,20,47,73,-26,2012,England-Premier-League,36,0.9473684210526315
626,Reading,38,6,10,22,43,73,-30,2012,England-Premier-League,28,0.7368421052631579
627,Queens Park Rangers,38,4,13,21,30,60,-30,2012,England-Premier-League,25,0.6578947368421053
628,Manchester City,38,28,5,5,93,29,64,2011,England-Premier-League,89,2.3421052631578947
629,Manchester United,38,28,5,5,89,33,56,2011,England-Premier-League,89,2.3421052631578947
630,Arsenal,38,21,7,10,74,49,25,2011,England-Premier-League,70,1.8421052631578947
631,Tottenham,38,20,9,9,66,41,25,2011,England-Premier-League,69,1.8157894736842106
632,Newcastle United,38,19,8,11,56,51,5,2011,England-Premier-League,65,1.7105263157894737
633,Chelsea,38,18,10,10,65,46,19,2011,England-Premier-League,64,1.6842105263157894
634,Everton,38,15,11,12,50,40,10,2011,England-Premier-League,56,1.4736842105263157
635,Liverpool,38,14,10,14,47,40,7,2011,England-Premier-League,52,1.368421052631579
636,Fulham,38,14,10,14,48,51,-3,2011,England-Premier-League,52,1.368421052631579
637,West Bromwich Albion,38,13,8,17,45,52,-7,2011,England-Premier-League,47,1.236842105263158
638,Swansea,38,12,11,15,44,51,-7,2011,England-Premier-League,47,1.236842105263158
639,Norwich,38,12,11,15,52,66,-14,2011,England-Premier-League,47,1.236842105263158
640,Sunderland,38,11,12,15,45,46,-1,2011,England-Premier-League,45,1.1842105263157894
641,Stoke,38,11,12,15,36,53,-17,2011,England-Premier-League,45,1.1842105263157894
642,Wigan,38,11,10,17,42,62,-20,2011,England-Premier-League,43,1.131578947368421
643,Aston Villa,38,7,17,14,37,53,-16,2011,England-Premier-League,38,1.0
644,Queens Park Rangers,38,10,7,21,43,66,-23,2011,England-Premier-League,37,0.9736842105263158
645,Bolton,38,10,6,22,46,77,-31,2011,England-Premier-League,36,0.9473684210526315
646,Blackburn,38,8,7,23,48,78,-30,2011,England-Premier-League,31,0.8157894736842105
647,Wolverhampton Wanderers,38,5,10,23,40,82,-42,2011,England-Premier-League,25,0.6578947368421053
648,Manchester United,38,23,11,4,78,37,41,2010,England-Premier-League,80,2.1052631578947367
649,Chelsea,38,21,8,9,69,33,36,2010,England-Premier-League,71,1.868421052631579
650,Manchester City,38,21,8,9,60,33,27,2010,England-Premier-League,71,1.868421052631579
651,Arsenal,38,19,11,8,72,43,29,2010,England-Premier-League,68,1.7894736842105263
652,Tottenham,38,16,14,8,55,46,9,2010,England-Premier-League,62,1.631578947368421
653,Liverpool,38,17,7,14,59,44,15,2010,England-Premier-League,58,1.5263157894736843
654,Everton,38,13,15,10,51,45,6,2010,England-Premier-League,54,1.4210526315789473
655,Fulham,38,11,16,11,49,43,6,2010,England-Premier-League,49,1.2894736842105263
656,Aston Villa,38,12,12,14,48,59,-11,2010,England-Premier-League,48,1.263157894736842
657,Sunderland,38,12,11,15,45,56,-11,2010,England-Premier-League,47,1.236842105263158
658,West Bromwich Albion,38,12,11,15,56,71,-15,2010,England-Premier-League,47,1.236842105263158
659,Newcastle United,38,11,13,14,56,57,-1,2010,England-Premier-League,46,1.2105263157894737
660,Stoke,38,13,7,18,46,48,-2,2010,England-Premier-League,46,1.2105263157894737
661,Bolton,38,12,10,16,52,56,-4,2010,England-Premier-League,46,1.2105263157894737
662,Blackburn,38,11,10,17,46,59,-13,2010,England-Premier-League,43,1.131578947368421
663,Wigan,38,9,15,14,40,61,-21,2010,England-Premier-League,42,1.105263157894737
664,Wolverhampton Wanderers,38,11,7,20,46,66,-20,2010,England-Premier-League,40,1.0526315789473684
665,Birmingham,38,8,15,15,37,58,-21,2010,England-Premier-League,39,1.0263157894736843
666,Blackpool,38,10,9,19,55,78,-23,2010,England-Premier-League,39,1.0263157894736843
667,West Ham,38,7,12,19,43,70,-27,2010,England-Premier-League,33,0.868421052631579
668,Juventus,38,33,3,2,80,23,57,2013,Italy-Serie-A,102,2.6842105263157894
669,Roma,38,26,7,5,72,25,47,2013,Italy-Serie-A,85,2.236842105263158
670,Napoli,38,23,9,6,77,39,38,2013,Italy-Serie-A,78,2.0526315789473686
671,Fiorentina,38,19,8,11,65,44,21,2013,Italy-Serie-A,65,1.7105263157894737
672,Inter,38,15,15,8,62,39,23,2013,Italy-Serie-A,60,1.5789473684210527
673,Parma Calcio 1913,38,15,13,10,58,46,12,2013,Italy-Serie-A,58,1.5263157894736843
674,AC Milan,38,16,9,13,57,49,8,2013,Italy-Serie-A,57,1.5
675,Torino,38,15,12,11,58,48,10,2013,Italy-Serie-A,57,1.5
676,Lazio,38,15,11,12,54,54,0,2013,Italy-Serie-A,56,1.4736842105263157
677,Verona,38,16,6,16,62,68,-6,2013,Italy-Serie-A,54,1.4210526315789473
678,Atalanta,38,15,5,18,43,51,-8,2013,Italy-Serie-A,50,1.3157894736842106
679,Sampdoria,38,12,9,17,48,62,-14,2013,Italy-Serie-A,45,1.1842105263157894
680,Udinese,38,12,8,18,46,57,-11,2013,Italy-Serie-A,44,1.1578947368421053
681,Genoa,38,11,11,16,41,50,-9,2013,Italy-Serie-A,44,1.1578947368421053
682,Cagliari,38,9,12,17,34,53,-19,2013,Italy-Serie-A,39,1.0263157894736843
683,Chievo,38,10,6,22,34,54,-20,2013,Italy-Serie-A,36,0.9473684210526315
684,Sassuolo,38,9,7,22,43,72,-29,2013,Italy-Serie-A,34,0.8947368421052632
685,Catania,38,8,8,22,34,66,-32,2013,Italy-Serie-A,32,0.8421052631578947
686,Bologna,38,5,14,19,28,58,-30,2013,Italy-Serie-A,29,0.7631578947368421
687,Livorno,38,6,7,25,39,77,-38,2013,Italy-Serie-A,25,0.6578947368421053
688,Juventus,38,27,6,5,71,24,47,2012,Italy-Serie-A,87,2.289473684210526
689,Napoli,38,23,9,6,73,36,37,2012,Italy-Serie-A,78,2.0526315789473686
690,AC Milan,38,21,9,8,67,39,28,2012,Italy-Serie-A,72,1.894736842105263
691,Fiorentina,38,21,7,10,72,44,28,2012,Italy-Serie-A,70,1.8421052631578947
692,Udinese,38,18,12,8,59,45,14,2012,Italy-Serie-A,66,1.736842105263158
693,Lazio,38,18,7,13,51,42,9,2012,Italy-Serie-A,61,1.605263157894737
694,Roma,37,17,8,12,68,56,12,2012,Italy-Serie-A,59,1.5945945945945945
695,Catania,38,15,11,12,50,46,4,2012,Italy-Serie-A,56,1.4736842105263157
696,Inter,38,16,6,16,55,57,-2,2012,Italy-Serie-A,54,1.4210526315789473
697,Parma Calcio 1913,38,13,10,15,45,46,-1,2012,Italy-Serie-A,49,1.2894736842105263
698,Cagliari,37,12,11,14,43,52,-9,2012,Italy-Serie-A,47,1.2702702702702702
699,Chievo,38,12,9,17,37,52,-15,2012,Italy-Serie-A,45,1.1842105263157894
700,Bologna,38,11,11,16,46,52,-6,2012,Italy-Serie-A,44,1.1578947368421053
701,Sampdoria,38,11,10,17,43,51,-8,2012,Italy-Serie-A,43,1.131578947368421
702,Atalanta,38,11,9,18,39,56,-17,2012,Italy-Serie-A,42,1.105263157894737
703,Torino,38,8,16,14,46,55,-9,2012,Italy-Serie-A,40,1.0526315789473684
704,Genoa,38,8,14,16,38,52,-14,2012,Italy-Serie-A,38,1.0
705,Palermo FC,38,6,14,18,34,54,-20,2012,Italy-Serie-A,32,0.8421052631578947
706,Robur Siena,38,9,9,20,36,57,-21,2012,Italy-Serie-A,36,0.9473684210526315
707,Pescara,38,6,4,28,27,84,-57,2012,Italy-Serie-A,22,0.5789473684210527
708,Juventus,38,23,15,0,68,20,48,2011,Italy-Serie-A,84,2.210526315789474
709,AC Milan,38,24,8,6,74,33,41,2011,Italy-Serie-A,80,2.1052631578947367
710,Udinese,38,18,10,10,52,35,17,2011,Italy-Serie-A,64,1.6842105263157894
711,Lazio,38,18,8,12,56,47,9,2011,Italy-Serie-A,62,1.631578947368421
712,Napoli,38,16,13,9,66,46,20,2011,Italy-Serie-A,61,1.605263157894737
713,Inter,38,17,7,14,58,55,3,2011,Italy-Serie-A,58,1.5263157894736843
714,Roma,38,16,8,14,60,54,6,2011,Italy-Serie-A,56,1.4736842105263157
715,Parma Calcio 1913,38,15,11,12,54,53,1,2011,Italy-Serie-A,56,1.4736842105263157
716,Bologna,38,13,12,13,41,43,-2,2011,Italy-Serie-A,51,1.3421052631578947
717,Chievo,38,12,13,13,35,45,-10,2011,Italy-Serie-A,49,1.2894736842105263
718,Catania,38,11,15,12,47,52,-5,2011,Italy-Serie-A,48,1.263157894736842
719,Atalanta,38,13,13,12,41,43,-2,2011,Italy-Serie-A,52,1.368421052631579
720,Fiorentina,38,11,13,14,37,43,-6,2011,Italy-Serie-A,46,1.2105263157894737
721,Robur Siena,38,11,11,16,45,45,0,2011,Italy-Serie-A,44,1.1578947368421053
722,Cagliari,38,10,13,15,37,46,-9,2011,Italy-Serie-A,43,1.131578947368421
723,Palermo FC,38,11,10,17,52,62,-10,2011,Italy-Serie-A,43,1.131578947368421
724,Genoa,38,11,9,18,50,69,-19,2011,Italy-Serie-A,42,1.105263157894737
725,Lecce,38,8,12,18,40,56,-16,2011,Italy-Serie-A,36,0.9473684210526315
726,Novara,38,7,11,20,35,65,-30,2011,Italy-Serie-A,32,0.8421052631578947
727,Cesena,38,4,10,24,24,60,-36,2011,Italy-Serie-A,22,0.5789473684210527
728,AC Milan,38,24,10,4,65,24,41,2010,Italy-Serie-A,82,2.1578947368421053
729,Inter,38,23,7,8,69,42,27,2010,Italy-Serie-A,76,2.0
730,Napoli,38,21,7,10,59,39,20,2010,Italy-Serie-A,70,1.8421052631578947
731,Udinese,38,20,6,12,65,43,22,2010,Italy-Serie-A,66,1.736842105263158
732,Lazio,38,20,6,12,55,39,16,2010,Italy-Serie-A,66,1.736842105263158
733,Roma,38,18,9,11,59,52,7,2010,Italy-Serie-A,63,1.6578947368421053
734,Juventus,38,15,13,10,57,47,10,2010,Italy-Serie-A,58,1.5263157894736843
735,Palermo FC,38,17,5,16,58,63,-5,2010,Italy-Serie-A,56,1.4736842105263157
736,Fiorentina,38,12,15,11,49,44,5,2010,Italy-Serie-A,51,1.3421052631578947
737,Genoa,38,14,9,15,45,47,-2,2010,Italy-Serie-A,51,1.3421052631578947
738,Chievo,38,11,13,14,38,40,-2,2010,Italy-Serie-A,46,1.2105263157894737
739,Parma Calcio 1913,38,11,13,14,39,47,-8,2010,Italy-Serie-A,46,1.2105263157894737
740,Catania,38,12,10,16,40,52,-12,2010,Italy-Serie-A,46,1.2105263157894737
741,Cagliari,38,12,9,17,44,51,-7,2010,Italy-Serie-A,45,1.1842105263157894
742,Cesena,38,11,10,17,38,50,-12,2010,Italy-Serie-A,43,1.131578947368421
743,Bologna,38,11,12,15,35,52,-17,2010,Italy-Serie-A,45,1.1842105263157894
744,Lecce,38,11,8,19,46,66,-20,2010,Italy-Serie-A,41,1.0789473684210527
745,Sampdoria,38,8,12,18,33,49,-16,2010,Italy-Serie-A,36,0.9473684210526315
746,Brescia,38,7,11,20,34,52,-18,2010,Italy-Serie-A,32,0.8421052631578947
747,Bari,38,5,9,24,27,56,-29,2010,Italy-Serie-A,24,0.631578947368421
748,Atletico Madrid,38,28,6,4,77,26,51,2013,Spain-La-Liga,90,2.3684210526315788
749,Barcelona,38,27,6,5,100,33,67,2013,Spain-La-Liga,87,2.289473684210526
750,Real Madrid,38,27,6,5,104,38,66,2013,Spain-La-Liga,87,2.289473684210526
751,Athletic Bilbao,38,20,10,8,66,39,27,2013,Spain-La-Liga,70,1.8421052631578947
752,Sevilla,38,18,9,11,69,52,17,2013,Spain-La-Liga,63,1.6578947368421053
753,Villarreal,38,17,8,13,60,44,16,2013,Spain-La-Liga,59,1.5526315789473684
754,Real Sociedad,38,16,11,11,62,55,7,2013,Spain-La-Liga,59,1.5526315789473684
755,Valencia,38,13,10,15,51,53,-2,2013,Spain-La-Liga,49,1.2894736842105263
756,Celta Vigo,38,14,7,17,49,54,-5,2013,Spain-La-Liga,49,1.2894736842105263
757,Levante,38,12,12,14,35,43,-8,2013,Spain-La-Liga,48,1.263157894736842
758,Malaga,38,12,9,17,39,46,-7,2013,Spain-La-Liga,45,1.1842105263157894
759,Rayo Vallecano,38,13,4,21,46,80,-34,2013,Spain-La-Liga,43,1.131578947368421
760,Getafe,38,11,9,18,35,54,-19,2013,Spain-La-Liga,42,1.105263157894737
761,Espanyol,38,11,9,18,41,51,-10,2013,Spain-La-Liga,42,1.105263157894737
762,Granada,38,12,5,21,32,56,-24,2013,Spain-La-Liga,41,1.0789473684210527
763,Elche,38,9,13,16,30,50,-20,2013,Spain-La-Liga,40,1.0526315789473684
764,Almeria,38,11,7,20,43,71,-28,2013,Spain-La-Liga,40,1.0526315789473684
765,Osasuna,38,10,9,19,32,62,-30,2013,Spain-La-Liga,39,1.0263157894736843
766,Real Valladolid,38,7,15,16,38,60,-22,2013,Spain-La-Liga,36,0.9473684210526315
767,Real Betis,38,6,7,25,36,78,-42,2013,Spain-La-Liga,25,0.6578947368421053
768,Barcelona,38,32,4,2,115,40,75,2012,Spain-La-Liga,100,2.6315789473684212
769,Real Madrid,38,26,7,5,103,42,61,2012,Spain-La-Liga,85,2.236842105263158
770,Atletico Madrid,38,23,7,8,65,31,34,2012,Spain-La-Liga,76,2.0
771,Real Sociedad,38,18,12,8,70,49,21,2012,Spain-La-Liga,66,1.736842105263158
772,Valencia,38,19,8,11,67,54,13,2012,Spain-La-Liga,65,1.7105263157894737
773,Malaga,38,16,9,13,53,50,3,2012,Spain-La-Liga,57,1.5
774,Real Betis,38,16,8,14,57,56,1,2012,Spain-La-Liga,56,1.4736842105263157
775,Rayo Vallecano,38,16,5,17,50,66,-16,2012,Spain-La-Liga,53,1.394736842105263
776,Sevilla,38,14,8,16,58,54,4,2012,Spain-La-Liga,50,1.3157894736842106
777,Getafe,38,13,8,17,43,57,-14,2012,Spain-La-Liga,47,1.236842105263158
778,Levante,38,12,10,16,40,57,-17,2012,Spain-La-Liga,46,1.2105263157894737
779,Athletic Bilbao,38,12,9,17,44,65,-21,2012,Spain-La-Liga,45,1.1842105263157894
780,Espanyol,38,11,11,16,43,52,-9,2012,Spain-La-Liga,44,1.1578947368421053
781,Real Valladolid,38,11,10,17,49,58,-9,2012,Spain-La-Liga,43,1.131578947368421
782,Granada,38,11,9,18,37,54,-17,2012,Spain-La-Liga,42,1.105263157894737
783,Osasuna,38,10,9,19,33,50,-17,2012,Spain-La-Liga,39,1.0263157894736843
784,Celta Vigo,38,10,7,21,37,52,-15,2012,Spain-La-Liga,37,0.9736842105263158
785,Mallorca,38,9,9,20,43,72,-29,2012,Spain-La-Liga,36,0.9473684210526315
786,Deportivo La Coruna,38,8,11,19,47,70,-23,2012,Spain-La-Liga,35,0.9210526315789473
787,Real Zaragoza,38,9,7,22,37,62,-25,2012,Spain-La-Liga,34,0.8947368421052632
788,Real Madrid,38,32,4,2,121,32,89,2011,Spain-La-Liga,100,2.6315789473684212
789,Barcelona,38,28,7,3,114,29,85,2011,Spain-La-Liga,91,2.3947368421052633
790,Valencia,38,17,10,11,59,44,15,2011,Spain-La-Liga,61,1.605263157894737
791,Malaga,38,17,7,14,54,53,1,2011,Spain-La-Liga,58,1.5263157894736843
792,Atletico Madrid,38,15,11,12,53,46,7,2011,Spain-La-Liga,56,1.4736842105263157
793,Levante,38,16,7,15,54,50,4,2011,Spain-La-Liga,55,1.4473684210526316
794,Osasuna,38,13,15,10,44,61,-17,2011,Spain-La-Liga,54,1.4210526315789473
795,Mallorca,38,14,10,14,42,46,-4,2011,Spain-La-Liga,52,1.368421052631579
796,Sevilla,38,13,11,14,48,47,1,2011,Spain-La-Liga,50,1.3157894736842106
797,Athletic Bilbao,38,12,13,13,49,52,-3,2011,Spain-La-Liga,49,1.2894736842105263
798,Getafe,38,12,11,15,40,51,-11,2011,Spain-La-Liga,47,1.236842105263158
799,Real Sociedad,38,12,11,15,46,52,-6,2011,Spain-La-Liga,47,1.236842105263158
800,Real Betis,38,13,8,17,47,56,-9,2011,Spain-La-Liga,47,1.236842105263158
801,Espanyol,38,12,10,16,46,56,-10,2011,Spain-La-Liga,46,1.2105263157894737
802,Rayo Vallecano,38,13,4,21,53,73,-20,2011,Spain-La-Liga,43,1.131578947368421
803,Real Zaragoza,38,12,7,19,36,61,-25,2011,Spain-La-Liga,43,1.131578947368421
804,Granada,38,12,6,20,35,56,-21,2011,Spain-La-Liga,42,1.105263157894737
805,Villarreal,38,9,14,15,39,53,-14,2011,Spain-La-Liga,41,1.0789473684210527
806,Sporting Gijon,38,10,7,21,42,69,-27,2011,Spain-La-Liga,37,0.9736842105263158
807,Racing Santander,38,4,15,19,28,63,-35,2011,Spain-La-Liga,27,0.7105263157894737
808,Barcelona,38,30,6,2,95,21,74,2010,Spain-La-Liga,96,2.526315789473684
809,Real Madrid,38,29,5,4,102,33,69,2010,Spain-La-Liga,92,2.4210526315789473
810,Valencia,38,21,8,9,64,44,20,2010,Spain-La-Liga,71,1.868421052631579
811,Villarreal,38,18,8,12,54,44,10,2010,Spain-La-Liga,62,1.631578947368421
812,Sevilla,38,17,7,14,62,61,1,2010,Spain-La-Liga,58,1.5263157894736843
813,Athletic Bilbao,38,18,4,16,59,55,4,2010,Spain-La-Liga,58,1.5263157894736843
814,Atletico Madrid,38,17,7,14,62,53,9,2010,Spain-La-Liga,58,1.5263157894736843
815,Espanyol,38,15,4,19,46,55,-9,2010,Spain-La-Liga,49,1.2894736842105263
816,Osasuna,38,13,8,17,45,46,-1,2010,Spain-La-Liga,47,1.236842105263158
817,Sporting Gijon,38,11,14,13,35,42,-7,2010,Spain-La-Liga,47,1.236842105263158
818,Malaga,38,13,7,18,54,68,-14,2010,Spain-La-Liga,46,1.2105263157894737
819,Racing Santander,38,12,10,16,41,56,-15,2010,Spain-La-Liga,46,1.2105263157894737
820,Real Zaragoza,38,12,9,17,40,53,-13,2010,Spain-La-Liga,45,1.1842105263157894
821,Real Sociedad,38,14,3,21,49,66,-17,2010,Spain-La-Liga,45,1.1842105263157894
822,Levante,38,12,9,17,41,52,-11,2010,Spain-La-Liga,45,1.1842105263157894
